População = 64, Experimentos = 150
1 threads
Probabilidade, Percentual Infectado
0.000000, 0.000000
0.010000, 0.000007
0.020000, 0.000011
0.030000, 0.000037
0.040000, 0.000054
0.050000, 0.000091
0.060000, 0.000116
0.070000, 0.000225
0.080000, 0.000195
0.090000, 0.013498
0.100000, 0.020186
0.110000, 0.013669
0.120000, 0.033475
0.130000, 0.080226
0.140000, 0.106639
0.150000, 0.199886
0.160000, 0.173358
0.170000, 0.219959
0.180000, 0.219867
0.190000, 0.306589
0.200000, 0.346572
0.210000, 0.346445
0.220000, 0.426540
0.230000, 0.439810
0.240000, 0.479831
0.250000, 0.506571
0.260000, 0.499858
0.270000, 0.626470
0.280000, 0.646414
0.290000, 0.666509
0.300000, 0.633190
0.310000, 0.726460
0.320000, 0.799796
0.330000, 0.766543
0.340000, 0.739788
0.350000, 0.779857
0.360000, 0.806509
0.370000, 0.813144
0.380000, 0.813223
0.390000, 0.779899
0.400000, 0.839850
0.410000, 0.873229
0.420000, 0.833214
0.430000, 0.859923
0.440000, 0.873232
0.450000, 0.906561
0.460000, 0.893275
0.470000, 0.879930
0.480000, 0.899917
0.490000, 0.899928
0.500000, 0.913283
0.510000, 0.953296
0.520000, 0.946624
0.530000, 0.953286
0.540000, 0.939951
0.550000, 0.953294
0.560000, 0.973298
0.570000, 0.959954
0.580000, 0.979969
0.590000, 0.959961
0.600000, 0.966634
0.610000, 0.993298
0.620000, 0.986631
0.630000, 0.986642
0.640000, 0.986642
0.650000, 0.986644
0.660000, 0.986639
0.670000, 0.999989
0.680000, 0.993312
0.690000, 0.993307
0.700000, 0.993317
0.710000, 0.993324
0.720000, 0.999995
0.730000, 0.993322
0.740000, 0.993325
0.750000, 0.993322
0.760000, 0.993324
0.770000, 0.999998
0.780000, 0.999995
0.790000, 0.999995
0.800000, 0.999989
0.810000, 0.999990
0.820000, 0.999992
0.830000, 0.999997
0.840000, 0.999995
0.850000, 0.999995
0.860000, 0.999997
0.870000, 0.999995
0.880000, 0.999997
0.890000, 0.999998
0.900000, 0.999998
0.910000, 1.000000
0.920000, 0.999998
0.930000, 0.999998
0.940000, 0.999998
0.950000, 1.000000
0.960000, 1.000000
0.970000, 1.000000
0.980000, 1.000000
0.990000, 1.000000
1.000000, 1.000000
35.17user 0.01system 0:35.19elapsed 99%CPU (0avgtext+0avgdata 4508maxresident)k
1456inputs+0outputs (6major+180minor)pagefaults 0swaps
2 threads
Probabilidade, Percentual Infectado
0.000000, 0.000000
0.010000, 0.000007
0.020000, 0.000011
0.030000, 0.000037
0.040000, 0.000054
0.050000, 0.000091
0.060000, 0.000116
0.070000, 0.000225
0.080000, 0.000195
0.090000, 0.039987
0.100000, 0.026807
0.110000, 0.013695
0.120000, 0.066693
0.130000, 0.086950
0.140000, 0.126527
0.150000, 0.120046
0.160000, 0.173123
0.170000, 0.279803
0.180000, 0.313148
0.190000, 0.279793
0.200000, 0.326489
0.210000, 0.446509
0.220000, 0.406566
0.230000, 0.506470
0.240000, 0.473190
0.250000, 0.533153
0.260000, 0.546510
0.270000, 0.619845
0.280000, 0.633127
0.290000, 0.653172
0.300000, 0.693089
0.310000, 0.746435
0.320000, 0.639858
0.330000, 0.673214
0.340000, 0.806424
0.350000, 0.746509
0.360000, 0.819837
0.370000, 0.773156
0.380000, 0.779897
0.390000, 0.853224
0.400000, 0.853211
0.410000, 0.866533
0.420000, 0.873192
0.430000, 0.926525
0.440000, 0.866556
0.450000, 0.919920
0.460000, 0.859928
0.470000, 0.899932
0.480000, 0.919910
0.490000, 0.899940
0.500000, 0.926579
0.510000, 0.906626
0.520000, 0.946600
0.530000, 0.959928
0.540000, 0.973276
0.550000, 0.953275
0.560000, 0.959971
0.570000, 0.993307
0.580000, 0.973291
0.590000, 0.973293
0.600000, 0.999946
0.610000, 0.979964
0.620000, 0.973312
0.630000, 0.986646
0.640000, 0.999984
0.650000, 0.979979
0.660000, 0.993294
0.670000, 0.993306
0.680000, 0.993309
0.690000, 0.979980
0.700000, 0.993320
0.710000, 0.979982
0.720000, 0.993324
0.730000, 0.986654
0.740000, 0.999984
0.750000, 0.993320
0.760000, 0.999993
0.770000, 0.993319
0.780000, 0.999992
0.790000, 0.999997
0.800000, 0.999995
0.810000, 0.999997
0.820000, 0.999990
0.830000, 0.993325
0.840000, 0.999995
0.850000, 0.999998
0.860000, 0.993325
0.870000, 1.000000
0.880000, 0.999998
0.890000, 0.999998
0.900000, 0.999997
0.910000, 0.999997
0.920000, 0.999997
0.930000, 0.999998
0.940000, 1.000000
0.950000, 1.000000
0.960000, 1.000000
0.970000, 1.000000
0.980000, 1.000000
0.990000, 1.000000
1.000000, 1.000000
48.74user 0.01system 0:24.37elapsed 199%CPU (0avgtext+0avgdata 4636maxresident)k
0inputs+0outputs (0major+190minor)pagefaults 0swaps
4 threads
Probabilidade, Percentual Infectado
0.000000, 0.000000
0.010000, 0.000007
0.020000, 0.000011
0.030000, 0.000037
0.040000, 0.000054
0.050000, 0.000091
0.060000, 0.000116
0.070000, 0.000247
0.080000, 0.000182
0.090000, 0.007313
0.100000, 0.006834
0.110000, 0.020217
0.120000, 0.033688
0.130000, 0.060472
0.140000, 0.120418
0.150000, 0.126774
0.160000, 0.086935
0.170000, 0.240124
0.180000, 0.200112
0.190000, 0.379696
0.200000, 0.273255
0.210000, 0.359839
0.220000, 0.379919
0.230000, 0.486479
0.240000, 0.499785
0.250000, 0.613094
0.260000, 0.533078
0.270000, 0.593079
0.280000, 0.633083
0.290000, 0.599796
0.300000, 0.633097
0.310000, 0.726453
0.320000, 0.759730
0.330000, 0.779751
0.340000, 0.706520
0.350000, 0.733136
0.360000, 0.793148
0.370000, 0.793174
0.380000, 0.819840
0.390000, 0.853190
0.400000, 0.839865
0.410000, 0.853197
0.420000, 0.866528
0.430000, 0.866554
0.440000, 0.919889
0.450000, 0.859884
0.460000, 0.886556
0.470000, 0.939915
0.480000, 0.899896
0.490000, 0.933237
0.500000, 0.933242
0.510000, 0.913276
0.520000, 0.959917
0.530000, 0.946564
0.540000, 0.953276
0.550000, 0.966595
0.560000, 0.966590
0.570000, 0.966631
0.580000, 0.946629
0.590000, 0.999956
0.600000, 0.993280
0.610000, 0.999956
0.620000, 0.986634
0.630000, 0.993301
0.640000, 0.993311
0.650000, 0.979977
0.660000, 0.986642
0.670000, 0.993312
0.680000, 0.966649
0.690000, 0.973320
0.700000, 0.999980
0.710000, 0.993317
0.720000, 0.993314
0.730000, 0.999982
0.740000, 0.999998
0.750000, 0.999982
0.760000, 0.993324
0.770000, 0.993317
0.780000, 0.999997
0.790000, 0.999984
0.800000, 0.993328
0.810000, 0.999997
0.820000, 0.999990
0.830000, 0.999998
0.840000, 0.993332
0.850000, 0.999997
0.860000, 1.000000
0.870000, 0.999997
0.880000, 0.999997
0.890000, 0.999998
0.900000, 0.999998
0.910000, 0.999998
0.920000, 1.000000
0.930000, 0.999997
0.940000, 0.999998
0.950000, 1.000000
0.960000, 1.000000
0.970000, 1.000000
0.980000, 1.000000
0.990000, 1.000000
1.000000, 1.000000
91.61user 0.13system 0:23.09elapsed 397%CPU (0avgtext+0avgdata 4608maxresident)k
0inputs+0outputs (0major+204minor)pagefaults 0swaps
População = 128, Experimentos = 150
1 threads
Probabilidade, Percentual Infectado
0.000000, 0.000000
0.010000, 0.000002
0.020000, 0.000003
0.030000, 0.000009
0.040000, 0.000013
0.050000, 0.000023
0.060000, 0.000029
0.070000, 0.000056
0.080000, 0.000049
0.090000, 0.006726
0.100000, 0.020059
0.110000, 0.020088
0.120000, 0.066698
0.130000, 0.106650
0.140000, 0.100022
0.150000, 0.186621
0.160000, 0.206635
0.170000, 0.286605
0.180000, 0.286613
0.190000, 0.319965
0.200000, 0.286633
0.210000, 0.413274
0.220000, 0.459897
0.230000, 0.446616
0.240000, 0.459956
0.250000, 0.519923
0.260000, 0.573277
0.270000, 0.619934
0.280000, 0.573286
0.290000, 0.659922
0.300000, 0.693259
0.310000, 0.686607
0.320000, 0.786607
0.330000, 0.733282
0.340000, 0.799939
0.350000, 0.786618
0.360000, 0.766633
0.370000, 0.826634
0.380000, 0.826624
0.390000, 0.839971
0.400000, 0.853299
0.410000, 0.899968
0.420000, 0.879972
0.430000, 0.899962
0.440000, 0.893315
0.450000, 0.833312
0.460000, 0.893308
0.470000, 0.933311
0.480000, 0.939981
0.490000, 0.933312
0.500000, 0.946647
0.510000, 0.939988
0.520000, 0.959986
0.530000, 0.939983
0.540000, 0.933317
0.550000, 0.953318
0.560000, 0.953328
0.570000, 0.993321
0.580000, 0.959987
0.590000, 0.979992
0.600000, 0.986656
0.610000, 0.979989
0.620000, 0.973326
0.630000, 0.979993
0.640000, 0.993326
0.650000, 0.999993
0.660000, 0.986664
0.670000, 0.993326
0.680000, 0.999998
0.690000, 0.993328
0.700000, 0.993331
0.710000, 0.999997
0.720000, 0.986663
0.730000, 0.993331
0.740000, 0.999998
0.750000, 0.986665
0.760000, 0.993330
0.770000, 0.999999
0.780000, 0.999998
0.790000, 0.986666
0.800000, 0.999998
0.810000, 0.999998
0.820000, 0.999999
0.830000, 0.999998
0.840000, 0.999997
0.850000, 1.000000
0.860000, 0.999998
0.870000, 0.999999
0.880000, 1.000000
0.890000, 0.999999
0.900000, 1.000000
0.910000, 1.000000
0.920000, 1.000000
0.930000, 0.999999
0.940000, 1.000000
0.950000, 1.000000
0.960000, 1.000000
0.970000, 1.000000
0.980000, 1.000000
0.990000, 1.000000
1.000000, 1.000000
245.63user 0.09system 4:05.77elapsed 99%CPU (0avgtext+0avgdata 4412maxresident)k
0inputs+0outputs (0major+191minor)pagefaults 0swaps
2 threads
Probabilidade, Percentual Infectado
0.000000, 0.000000
0.010000, 0.000002
0.020000, 0.000003
0.030000, 0.000009
0.040000, 0.000013
0.050000, 0.000023
0.060000, 0.000029
0.070000, 0.000056
0.080000, 0.000049
0.090000, 0.013352
0.100000, 0.006716
0.110000, 0.040061
0.120000, 0.066651
0.130000, 0.066657
0.140000, 0.133317
0.150000, 0.166610
0.160000, 0.133344
0.170000, 0.273335
0.180000, 0.266646
0.190000, 0.299934
0.200000, 0.379958
0.210000, 0.340009
0.220000, 0.439915
0.230000, 0.473324
0.240000, 0.479961
0.250000, 0.459965
0.260000, 0.579951
0.270000, 0.626587
0.280000, 0.599944
0.290000, 0.646619
0.300000, 0.613296
0.310000, 0.719958
0.320000, 0.666638
0.330000, 0.706618
0.340000, 0.759972
0.350000, 0.799955
0.360000, 0.806635
0.370000, 0.839959
0.380000, 0.779954
0.390000, 0.819975
0.400000, 0.846646
0.410000, 0.846635
0.420000, 0.846643
0.430000, 0.873310
0.440000, 0.913312
0.450000, 0.873307
0.460000, 0.886647
0.470000, 0.919981
0.480000, 0.919986
0.490000, 0.913304
0.500000, 0.933310
0.510000, 0.933317
0.520000, 0.953304
0.530000, 0.933320
0.540000, 0.979988
0.550000, 0.959991
0.560000, 0.973323
0.570000, 0.986656
0.580000, 0.946659
0.590000, 0.953322
0.600000, 0.946658
0.610000, 0.973326
0.620000, 0.979996
0.630000, 0.979996
0.640000, 0.973331
0.650000, 0.986660
0.660000, 0.986661
0.670000, 0.993325
0.680000, 0.999995
0.690000, 0.986665
0.700000, 0.999993
0.710000, 0.999996
0.720000, 0.979998
0.730000, 0.999998
0.740000, 0.993329
0.750000, 0.999998
0.760000, 0.999997
0.770000, 0.999995
0.780000, 0.993330
0.790000, 0.999996
0.800000, 0.999998
0.810000, 1.000000
0.820000, 0.999998
0.830000, 0.999998
0.840000, 0.999998
0.850000, 0.999997
0.860000, 0.999999
0.870000, 0.999999
0.880000, 1.000000
0.890000, 1.000000
0.900000, 1.000000
0.910000, 0.999999
0.920000, 0.999999
0.930000, 0.999999
0.940000, 1.000000
0.950000, 1.000000
0.960000, 1.000000
0.970000, 1.000000
0.980000, 1.000000
0.990000, 1.000000
1.000000, 1.000000
291.32user 0.05system 2:25.70elapsed 199%CPU (0avgtext+0avgdata 4572maxresident)k
0inputs+0outputs (0major+201minor)pagefaults 0swaps
4 threads
Probabilidade, Percentual Infectado
0.000000, 0.000000
0.010000, 0.000002
0.020000, 0.000003
0.030000, 0.000009
0.040000, 0.000013
0.050000, 0.000023
0.060000, 0.000029
0.070000, 0.000057
0.080000, 0.000049
0.090000, 0.013396
0.100000, 0.013411
0.110000, 0.013357
0.120000, 0.053340
0.130000, 0.080024
0.140000, 0.113309
0.150000, 0.166627
0.160000, 0.226587
0.170000, 0.213303
0.180000, 0.186650
0.190000, 0.266599
0.200000, 0.373253
0.210000, 0.366591
0.220000, 0.353293
0.230000, 0.473249
0.240000, 0.473284
0.250000, 0.513256
0.260000, 0.573260
0.270000, 0.506612
0.280000, 0.593258
0.290000, 0.639928
0.300000, 0.673269
0.310000, 0.706590
0.320000, 0.773253
0.330000, 0.719942
0.340000, 0.733292
